,Shannon_Index,Riqueza_Especies,Distance_to_Station_km,PM2.5,PM10,NO2,CO,O3,Temperatura,Humedad,Viento,Radiacion_Solar
Shannon_Index,1.0,0.8460503426537344,0.026452074758168066,0.009943828078577872,-0.020144450322615363,0.08725358833505219,0.08632425609917703,-0.29694035987200246,-0.3503625215200551,0.31823928110932886,-0.2760284576887968,-0.27286146785947163
Riqueza_Especies,0.8460503426537344,1.0,-0.004448451510998325,0.03584653198152585,0.0007724015145490717,0.11673484096700638,0.09556026732137805,-0.31347499086552255,-0.3852798833467786,0.3481829577771063,-0.27063696707169255,-0.30870832840064455
Distance_to_Station_km,0.026452074758168066,-0.004448451510998325,1.0,0.0733086870223145,0.11078535629892447,-0.021995589859774095,-0.008137976668080119,-0.1067516556510232,-0.02611992675223935,0.0736649689160634,-0.04163069714815048,-0.09606987142718582
PM2.5,0.009943828078577872,0.03584653198152585,0.0733086870223145,1.0,0.8124326695937187,0.4532786679054336,0.47240990732471194,0.016469126420614284,-0.0076103049018063,0.07811718328157165,-0.08300578035831373,0.055094084947575624
PM10,-0.020144450322615363,0.0007724015145490717,0.11078535629892447,0.8124326695937187,1.0,0.4898087758483232,0.4719046237516299,0.01789751258447973,0.06199208240977557,0.010038371298132717,-0.028639307403480585,0.12772553122093308
NO2,0.08725358833505219,0.11673484096700638,-0.021995589859774095,0.4532786679054336,0.4898087758483232,1.0,0.672568800329824,-0.32724760561204175,-0.23257576573025796,0.3519233749020232,-0.2633594787842935,-0.2139137925625989
CO,0.08632425609917703,0.09556026732137805,-0.008137976668080119,0.47240990732471194,0.4719046237516299,0.672568800329824,1.0,-0.36636617354084405,-0.2768782097472379,0.3588443260045958,-0.30152770270498175,-0.23228713398493325
O3,-0.29694035987200246,-0.31347499086552255,-0.1067516556510232,0.016469126420614284,0.01789751258447973,-0.32724760561204175,-0.36636617354084405,1.0,0.7319113336474385,-0.7744369288538089,0.5539135143208409,0.6861783186521634
Temperatura,-0.3503625215200551,-0.3852798833467786,-0.02611992675223935,-0.0076103049018063,0.06199208240977557,-0.23257576573025796,-0.2768782097472379,0.7319113336474385,1.0,-0.8484131591916186,0.5542665216867916,0.8052664146729662
Humedad,0.31823928110932886,0.3481829577771063,0.0736649689160634,0.07811718328157165,0.010038371298132717,0.3519233749020232,0.3588443260045958,-0.7744369288538089,-0.8484131591916186,1.0,-0.492746882771352,-0.7898256515719491
Viento,-0.2760284576887968,-0.27063696707169255,-0.04163069714815048,-0.08300578035831373,-0.028639307403480585,-0.2633594787842935,-0.30152770270498175,0.5539135143208409,0.5542665216867916,-0.492746882771352,1.0,0.49629391050844096
Radiacion_Solar,-0.27286146785947163,-0.30870832840064455,-0.09606987142718582,0.055094084947575624,0.12772553122093308,-0.2139137925625989,-0.23228713398493325,0.6861783186521634,0.8052664146729662,-0.7898256515719491,0.49629391050844096,1.0
