,Shannon_Index,Riqueza_Especies,Distance_to_Station_km,PM2.5,PM10,NO2,CO,O3,Temperatura,Humedad,Viento,Radiacion_Solar
Shannon_Index,1.0,0.916230992042798,0.021017445691690236,0.020779426772240844,0.009468687157045394,0.1347991263023785,0.1336920280588365,-0.34547215036800516,-0.3745258610835524,0.3396508263239534,-0.2910176704580822,-0.31189811986661753
Riqueza_Especies,0.916230992042798,1.0,-0.013492399466857808,0.029143532304243755,0.01648106651974995,0.15419878340098422,0.1447369910891772,-0.3483490904415167,-0.38970994306336676,0.3480998666891613,-0.27842991876093015,-0.3265025583249128
Distance_to_Station_km,0.021017445691690236,-0.013492399466857808,1.0,0.07770625397741532,0.12990444467956327,0.02421651838397423,-0.0018731578099958127,-0.12890691208814142,-0.01931496127230341,0.05848309844321553,0.02051588543709495,-0.0940413511393884
PM2.5,0.020779426772240844,0.029143532304243755,0.07770625397741532,1.0,0.8082011489498375,0.43065589599777027,0.4795020522887234,-0.08670094458426829,-0.01700964215547521,0.12027407218434745,-0.12316888557813091,0.01516765011025696
PM10,0.009468687157045394,0.01648106651974995,0.12990444467956327,0.8082011489498375,1.0,0.44841947897959195,0.4645044150255007,-0.07443324284673845,0.05501951260679183,0.04958581578757781,-0.051957047239842666,0.08891956702661631
NO2,0.1347991263023785,0.15419878340098422,0.02421651838397423,0.43065589599777027,0.44841947897959195,1.0,0.7286369941424969,-0.37792951323283946,-0.30185497844532344,0.40321156554079873,-0.2925139088697011,-0.24426708142546705
CO,0.1336920280588365,0.1447369910891772,-0.0018731578099958127,0.4795020522887234,0.4645044150255007,0.7286369941424969,1.0,-0.46300705560804556,-0.32886303704044745,0.42835601860123884,-0.3528337147199554,-0.2133377463510153
O3,-0.34547215036800516,-0.3483490904415167,-0.12890691208814142,-0.08670094458426829,-0.07443324284673845,-0.37792951323283946,-0.46300705560804556,1.0,0.7915345420732466,-0.8353751587768324,0.5402303104162585,0.7381965561207626
Temperatura,-0.3745258610835524,-0.38970994306336676,-0.01931496127230341,-0.01700964215547521,0.05501951260679183,-0.30185497844532344,-0.32886303704044745,0.7915345420732466,1.0,-0.8455738209131444,0.5837215221909892,0.8452861756338436
Humedad,0.3396508263239534,0.3480998666891613,0.05848309844321553,0.12027407218434745,0.04958581578757781,0.40321156554079873,0.42835601860123884,-0.8353751587768324,-0.8455738209131444,1.0,-0.527317427826913,-0.7748837747947087
Viento,-0.2910176704580822,-0.27842991876093015,0.02051588543709495,-0.12316888557813091,-0.051957047239842666,-0.2925139088697011,-0.3528337147199554,0.5402303104162585,0.5837215221909892,-0.527317427826913,1.0,0.5078766465273267
Radiacion_Solar,-0.31189811986661753,-0.3265025583249128,-0.0940413511393884,0.01516765011025696,0.08891956702661631,-0.24426708142546705,-0.2133377463510153,0.7381965561207626,0.8452861756338436,-0.7748837747947087,0.5078766465273267,1.0
