codigoestacion,nombreestacion,departamento,municipio,latitud,longitud
2120000101,ALTOS DE LA ESTANCIA,BOGOTÁ,BOGOTA D.C,4.58074,-74.17828
2120000101,ALTOS DE LA ESTANCIA,BOGOTÁ,BOGOTÁ D.C,4.58074,-74.17828
2120000101,ALTOS DE LA ESTANCIA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.581,-74.178
0021205791,APTO EL DORADO - TX GPRS,BOGOTA D.C.,"BOGOTA, D.C",4.706,-74.151
0035025060,BOLSA LA,CUNDINAMARCA,CHOACHÍ,4.57541667,-73.98141667
0035027100,CARAZA,CUNDINAMARCA,UNE,4.428638889,-74.01019444
0035027100,CARAZA,CUNDINAMARCA,CHIPAQUE,4.429173,-74.010245
0035027100,CARAZA  - AUT,CUNDINAMARCA,UNE,4.428638889,-74.01019444
2120700037,CASAS FISCALES ESCUELA DE ARTILLERÍA,BOGOTÁ,BOGOTA D.C,4.556439,-74.125173
2120700037,CASAS FISCALES ESCUELA DE ARTILLERÍA,BOGOTÁ,BOGOTÁ D.C,4.556439,-74.125173
2120700037,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.556,-74.125
0021206890,CERRO CAZADORES,BOGOTÁ,BOGOTA D.C,4.66577,-74.02861
0021206890,CERRO CAZADORES,BOGOTÁ,BOGOTÁ D.C,4.66577,-74.02861
2120000103,CERRO NORTE,BOGOTÁ,BOGOTA D.C,4.73254,-74.01871
2120000103,CERRO NORTE,BOGOTÁ,BOGOTÁ D.C,4.73254,-74.01871
2120000103,CERRO NORTE - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.733,-74.019
2120000124,COL RAFAEL URIBE,BOGOTÁ,BOGOTA D.C,4.583176,-74.132461
2120000124,COL RAFAEL URIBE,BOGOTÁ,BOGOTÁ D.C,4.583176,-74.132461
2120000118,COL. ALBERTO LLERAS CAMARGO,BOGOTÁ,BOGOTA D.C,4.743304,-74.102293
2120000118,COL. ALBERTO LLERAS CAMARGO,BOGOTÁ,BOGOTÁ D.C,4.743304,-74.102293
2120000119,COL. ALEMANIA UNIFICADA,BOGOTÁ,BOGOTA D.C,4.555765,-74.09667
2120000119,COL. ALEMANIA UNIFICADA,BOGOTÁ,BOGOTÁ D.C,4.555765,-74.09667
2120000131,COL. ANTONIO GARCIA,BOGOTÁ,BOGOTA D.C,4.545,-74.13944
2120000131,COL. ANTONIO GARCIA,BOGOTÁ,BOGOTÁ D.C,4.545,-74.13944
2120000126,COL. CIUDAD DE VILLAVICENCIO,BOGOTÁ,BOGOTA D.C,4.48706,-74.10213
2120000126,COL. CIUDAD DE VILLAVICENCIO,BOGOTÁ,BOGOTÁ D.C,4.48706,-74.10213
2120000127,COL. EDUARDO UMAÑA,BOGOTÁ,BOGOTA D.C,4.48997,-74.11308
2120000127,COL. EDUARDO UMAÑA,BOGOTÁ,BOGOTÁ D.C,4.48997,-74.11308
2120000133,COL. EL MANANTIAL,BOGOTÁ,BOGOTA D.C,4.56144,-74.07482
2120000133,COL. EL MANANTIAL,BOGOTÁ,BOGOTÁ D.C,4.56144,-74.07482
2120000132,COL. EL TESORO DE LA CUMBRE,BOGOTÁ,BOGOTA D.C,4.53531,-74.14909
2120000132,COL. EL TESORO DE LA CUMBRE,BOGOTÁ,BOGOTÁ D.C,4.53531,-74.14909
2120000137,COL. FRIEDRICH NAUMANN,BOGOTÁ,BOGOTA D.C,4.74943,-74.02285
2120000137,COL. FRIEDRICH NAUMANN,BOGOTÁ,BOGOTÁ D.C,4.74943,-74.02285
2120000128,COL. GABRIEL GARCIA MARQUEZ,BOGOTÁ,BOGOTA D.C,4.50499,-74.09235
2120000128,COL. GABRIEL GARCIA MARQUEZ,BOGOTÁ,BOGOTÁ D.C,4.50499,-74.09235
2120000120,COL. GUSTAVO MORALES,BOGOTÁ,BOGOTA D.C,4.716619,-74.064401
2120000120,COL. GUSTAVO MORALES,BOGOTÁ,BOGOTÁ D.C,4.716619,-74.064401
2120000121,COL. GUSTAVO RESTREPO,BOGOTÁ,BOGOTA D.C,4.575873,-74.106178
2120000121,COL. GUSTAVO RESTREPO,BOGOTÁ,BOGOTÁ D.C,4.575873,-74.106178
2120000123,COL. LA CHUCUA,BOGOTÁ,BOGOTA D.C,4.60356,-74.148507
2120000123,COL. LA CHUCUA,BOGOTÁ,BOGOTÁ D.C,4.60356,-74.148507
2120000134,COL. LOS ALPES SEDE A,BOGOTÁ,BOGOTA D.C,4.55257,-74.08373
2120000134,COL. LOS ALPES SEDE A,BOGOTÁ,BOGOTÁ D.C,4.55257,-74.08373
2120000136,COL. LOS PINOS SEDE A,BOGOTÁ,BOGOTÁ D.C,4.58781,-74.06813
2120000135,COL. MANUEL ELKIN PATARROYO,BOGOTÁ,BOGOTA D.C,4.61823,-74.06439
2120000135,COL. MANUEL ELKIN PATARROYO,BOGOTÁ,BOGOTÁ D.C,4.61823,-74.06439
2120000138,COL. NUEVA ZELANDIA,BOGOTÁ,BOGOTA D.C,4.76587,-74.04681
2120000138,COL. NUEVA ZELANDIA,BOGOTÁ,BOGOTÁ D.C,4.76587,-74.04681
2120000129,COL. OFELIA URIBE ACOSTA,BOGOTÁ,BOGOTA D.C,4.50643,-74.10251
2120000129,COL. OFELIA URIBE ACOSTA,BOGOTÁ,BOGOTÁ D.C,4.50643,-74.10251
2120000130,COL. PAULO FREIRE,BOGOTÁ,BOGOTA D.C,4.5328,-74.11684
2120000130,COL. PAULO FREIRE,BOGOTÁ,BOGOTÁ D.C,4.5328,-74.11684
2120000171,COLEGIO AGUSTIN FERNANDEZ,BOGOTÁ,BOGOTA D.C,4.72911,-74.02383
2120000171,COLEGIO AGUSTIN FERNANDEZ,BOGOTÁ,BOGOTÁ D.C,4.72911,-74.02383
2120000100,COLEGIO ALEMANIA SOLIDARIA,BOGOTÁ,BOGOTA D.C,4.652389,-74.075434
2120000100,COLEGIO ALEMANIA SOLIDARIA,BOGOTÁ,BOGOTÁ D.C,4.652389,-74.075434
2120000100,COLEGIO ALEMANIA SOLIDARIA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.652,-74.075
2120000173,COLEGIO CARLO FEDERICI,BOGOTÁ,BOGOTA D.C,4.67168,-74.15894
2120000173,COLEGIO CARLO FEDERICI,BOGOTÁ,BOGOTÁ D.C,4.67168,-74.15894
2120000142,COLEGIO CARLOS PIZARRO,BOGOTÁ,BOGOTA D.C,4.63537,-74.20541
2120000102,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.635,-74.205
2120000122,COLEGIO INEM FRANCISCO DE PAULA SANTANDER,BOGOTÁ,BOGOTA D.C,4.624567,-74.154993
2120000122,COLEGIO INEM FRANCISCO DE PAULA SANTANDER,BOGOTÁ,BOGOTÁ D.C,4.624567,-74.154993
2120000169,COLEGIO LA BELLEZA,BOGOTÁ,BOGOTA D.C,4.53059,-74.09244
2120000169,COLEGIO LA BELLEZA,BOGOTÁ,BOGOTÁ D.C,4.53059,-74.09244
2120000175,COLEGIO LA FELICIDAD,BOGOTÁ,BOGOTA D.C,4.656,-74.13111111
2120000175,COLEGIO LA FELICIDAD,BOGOTÁ,BOGOTÁ D.C,4.656,-74.131111111
2120000174,COLEGIO MAGDALENA ORTEGA DE NARIÑO,BOGOTÁ,BOGOTA D.C,4.68664,-74.08296
2120000174,COLEGIO MAGDALENA ORTEGA DE NARIÑO,BOGOTÁ,BOGOTÁ D.C,4.68664,-74.08296
