term,coef,std_err,t,p_value,ci_low,ci_high,robust_hc3_std_err,robust_hc3_t,robust_hc3_p_value,robust_hc3_ci_low,robust_hc3_ci_high,variable,abs_coef
const,2.2023709358319326,0.0069562729740584904,316.60214371187993,0.0,2.188733768770648,2.216008102893217,0.00696980376537904,315.98750983086836,0.0,2.1887072428332104,2.2160346288306547,const,2.2023709358319326
z_reg_PM2.5,0.047554548792079536,0.01247560574224473,3.81180279135072,0.00013952591725278955,0.0230972107416361,0.07201188684252297,0.01274319253333477,3.7317609906373255,0.00019214177235344956,0.022572630152706316,0.07253646743145276,PM2.5,0.047554548792079536
z_reg_PM10,-0.0233820599330158,0.012670941279228009,-1.845329357760261,0.06504553715766044,-0.04822233628400907,0.0014582164179774704,0.013317434040148145,-1.7557481315488983,0.07918933668993187,-0.04948972901247977,0.00272560914644817,PM10,0.0233820599330158
z_reg_NO2,-0.01526219244335027,0.009939515656407378,-1.5355066555493275,0.12471927247409798,-0.034747746851603846,0.004223361964903305,0.010423511304341498,-1.4642083648907651,0.14319649076803206,-0.0356965781485392,0.005172193261838657,NO2,0.01526219244335027
z_reg_CO,-0.02835443609936406,0.010170669992625118,-2.7878631515843324,0.005324653102165769,-0.04829314844315255,-0.00841572375557557,0.010545926076433725,-2.6886625123160894,0.007196391439146739,-0.04902880529916516,-0.007680066899562958,CO,0.02835443609936406
z_reg_O3,-0.057281720902936845,0.01166816796948249,-4.909230056745354,9.418407097646912e-07,-0.08015614755243133,-0.03440729425344235,0.01272691492345377,-4.500833175004206,6.9140507260605914e-06,-0.08223172870641655,-0.032331713099457135,O3,0.057281720902936845
z_reg_Temperatura,-0.12123350067818271,0.013281287648179483,-9.128143587402887,9.719219402146097e-20,-0.14727030790564957,-0.09519669345071587,0.01387059537682736,-8.74032421713628,3.0770821040943533e-18,-0.14842559436091765,-0.09404140699544777,Temperatura,0.12123350067818271
z_reg_Viento,-0.043433736817160735,0.008819665762061984,-4.9246465783309,8.708551954650382e-07,-0.06072392308076255,-0.02614355055355892,0.009043574571576925,-4.8027178272702855,1.6084750093520782e-06,-0.061162876792503845,-0.02570459684181763,Viento,0.043433736817160735
z_reg_Lluvia,-0.01826300044934005,0.00700062186745487,-2.6087683058904743,0.009112461610481095,-0.03198710965198174,-0.004538891246698361,0.007082761029030907,-2.578514279174949,0.00994942372138616,-0.03214813632141572,-0.004377864577264379,Lluvia,0.01826300044934005
z_reg_Radiacion_Solar,0.007456546655849263,0.012424452649632342,0.6001509173983542,0.5484313879556023,-0.016900510213528116,0.03181360352522664,0.012650012631335352,0.5894497399456067,0.5555848095570306,-0.01734270090447646,0.032255794216174985,Radiacion_Solar,0.007456546655849263
z_reg_DURATION MINUTES,0.2259443984851183,0.007633856819140417,29.597673081659917,2.818151522047925e-178,0.21097888733384923,0.24090990963638736,0.013967691654099688,16.17621609070965,1.748280876265821e-57,0.19856195601084953,0.25332684095938707,Duracion,0.2259443984851183
z_reg_EFFORT DISTANCE KM,-0.05708393898450799,0.007311734612538634,-7.8071677938935,7.002614514747711e-15,-0.07141795761644092,-0.042749920352575056,0.011676745890962952,-4.888685556537398,1.0451437230223319e-06,-0.07997518190166533,-0.03419269606735064,Distancia,0.05708393898450799
