term,variable,vif
z_reg_Humedad,Humedad,5.3208049469895835
z_reg_Temperatura,Temperatura,4.7801108727544115
z_reg_Radiacion_Solar,Radiacion_Solar,3.4535528604641774
z_reg_PM10,PM10,3.322658515154279
z_reg_O3,O3,3.255422858616592
z_reg_PM2.5,PM2.5,3.244158933413577
z_reg_CO,CO,2.1383034349336056
z_reg_NO2,NO2,2.0857341075000075
z_reg_Viento,Viento,1.6340348199401147
z_reg_DURATION MINUTES,Duracion,1.2044709144997978
z_reg_EFFORT DISTANCE KM,Distancia,1.1048380864532699
z_reg_Lluvia,Lluvia,1.0452729142377009
